Артикул продавца,product_id,Артикул МП,Категория,МП,Юр лицо,date,Дата,Заказы шт,Средний чек 1 заказ (РУБ),Себестоимость 1 шт (РУБ),Себестоимость Тотал (РУБ),Комиссия МП  (РУБ),Хранение МП (РУБ),Логистика МП,Фуллфилмент БЕТА-ПРО (тотал),% выкупа,Рекламные расходы (РУБ),ДРР %,Эквайринг (РУБ),СТОК (ШТ),ПЛАН заказов шт в день,ПЛАН заказов оборот в день,% выполнения ПЛАНа в шт,% выполнения ПЛАНа в руб.,Оборачиваемость (Дни),Тотал заказы (РУБ),Коммерческая маржа (РУБ),Коммерческая маржа %,Cредние продажи в день - за неделю,Клики общие (воронка продаж),Просмотры (реклама),Клики (реклама),"CTR, % (реклама)",Добавления в корзину (реклама),Добавления в корзину (воронка продаж),"CR в корзину, % (формула)","CR в заказ, % (формула)","CR из клика в заказ, % (формула)",Команда
hl1-1,HL1-1,,Прочее,Wildberries,ИНТЕР,,24.10.2024,0,0,495.21,0,0,0,0,0,0.00,0,0.0000,0,0,0,0,0.0000,0.0000,0,0,0,0,0,0,0,0,0.0000,0,0,0.0000,0.0000,0.0000,Д+В
tvb1-1,TVB1-1,,Прочее,Wildberries,ИНТЕР,,24.10.2024,0,0,362.52,0,0,0,0,0,0.00,0,0.0000,0,0,0,0,0.0000,0.0000,0,0,0,0,0,0,0,0,0.0000,0,0,0.0000,0.0000,0.0000,М+Н
pha1-1wt,PHA1-1WT,,Прочее,Wildberries,ИНТЕР,,24.10.2024,0,0,716.88,0,0,0,0,0,0.00,0,0.0000,0,0,0,0,0.0000,0.0000,0,0,0,0,0,0,0,0,0.0000,0,0,0.0000,0.0000,0.0000,М+Н
pha1-1bk,PHA1-1BK,,#N/A,Wildberries,ИНТЕР,,24.10.2024,0,0,#N/A,0,0,0,0,0,0.00,0,0.0000,0,0,0,0,0.0000,0.0000,0,0,0,0,0,0,0,0,0.0000,0,0,0.0000,0.0000,0.0000,М+Н
pha1-1pk,PHA1-1PK,,Прочее,Wildberries,ИНТЕР,,24.10.2024,0,0,608.9,0,0,0,0,0,0.00,0,0.0000,0,0,0,0,0.0000,0.0000,0,0,0,0,0,0,0,0,0.0000,0,0,0.0000,0.0000,0.0000,М+Н
pha1-1gr,PHA1-1GR,,Прочее,Wildberries,ИНТЕР,,24.10.2024,0,0,612.36,0,0,0,0,0,0.00,0,0.0000,0,0,0,0,0.0000,0.0000,0,0,0,0,0,0,0,0,0.0000,0,0,0.0000,0.0000,0.0000,М+Н
pha1-1rd,PHA1-1RD,,Прочее,Wildberries,ИНТЕР,,24.10.2024,0,0,612.36,0,0,0,0,0,0.00,0,0.0000,0,0,0,0,0.0000,0.0000,0,0,0,0,0,0,0,0,0.0000,0,0,0.0000,0.0000,0.0000,М+Н
h-org1-1,H-ORG1-1,196446896,Контейнеры,Wildberries,ИНТЕР,,24.10.2024,5,1320.236,581.49,0,1287.2301,87.125,1379.9,400,0.60,0,0.0000,59.66666667,285,13,16159,0.0038,0.0041,71,6601.18,3387.258233,0.5131292032,4,138,0,0,0.0000,0,23,0.1667,0.2174,0.0362,М+Н
h-org1-2,H-ORG1-2,196446895,Контейнеры,Wildberries,ИНТЕР,,24.10.2024,0,0,468.65,0,0,267.6937071,0,0,0.00,0,0.0000,0,577,3,2397,0.0000,0.0000,289,0,-267.6937071,0,2,69,0,0,0.0000,0,0,0.0000,0.0000,0.0000,М+Н
h-org1-3,H-ORG1-3,196447519,Контейнеры,Wildberries,ИНТЕР,,24.10.2024,0,0,787.28,0,0,1.1528244,0,0,0.00,0,0.0000,0,0,2,3452,0.0000,0.0000,0,0,-1.1528244,0,0,28,0,0,0.0000,0,0,0.0000,0.0000,0.0000,М+Н
k-ebr-1-1,K-EBR-1-1,196426650,Прочее,Wildberries,ИНТЕР,,24.10.2024,0,0,403.01,0,0,0,0,0,0.00,0,0.0000,0,0,0,0,0.0000,0.0000,0,0,0,0,0,1,0,0,0.0000,0,0,0.0000,0.0000,0.0000,М+Н
b-drs1-1,B-DRS1-1,,Прочее,Wildberries,ИНТЕР,,24.10.2024,0,0,599.76,0,0,0,0,0,0.00,0,0.0000,0,0,1,300,0.0000,0.0000,0,0,0,0,0,0,0,0,0.0000,0,0,0.0000,0.0000,0.0000,М+Н
tvb1-2,TVB1-2,,Прочее,Wildberries,ИНТЕР,,24.10.2024,0,0,701.59,0,0,0,0,0,0.00,0,0.0000,0,0,0,0,0.0000,0.0000,0,0,0,0,0,0,0,0,0.0000,0,0,0.0000,0.0000,0.0000,М+Н
k-pmc1-1,K-PMC1-1,196426654,Прочее,Wildberries,ИНТЕР,,24.10.2024,0,0,552.53,0,0,0,0,0,0.00,0,0.0000,0,0,0,0,0.0000,0.0000,0,0,0,0,0,0,0,0,0.0000,0,0,0.0000,0.0000,0.0000,М+Н
h-lb1-1gr,H-LB1-1GR,196447979,Корзины для белья,Wildberries,ИНТЕР,,24.10.2024,12,1360,543.77,0,3182.4,43.5625,2232.274134,960,0.82,0,0.0000,170.0030769,35,17,25262,0.0071,0.0065,3,16320,9731.760289,0.5963088412,12,472,0,0,0.0000,0,44,0.0932,0.2727,0.0254,М+Н
h-lb1-1wt,H-LB1-1WT,196447978,Корзины для белья,Wildberries,ИНТЕР,,24.10.2024,15,1160,540.01,0,3393,43.5625,2778.536234,1200,0.87,0,0.0000,158.745,6,25,34850,0.0060,0.0050,1,17400,9826.156266,0.5647216245,10,592,0,0,0.0000,0,67,0.1132,0.2239,0.0253,М+Н
h-led-1-1-15,H-LED-1-1-15,,Прочее,Wildberries,ИНТЕР,,24.10.2024,0,0,829.76,0,0,0,0,0,0.00,0,0.0000,0,0,0,0,0.0000,0.0000,0,0,0,0,0,0,0,0,0.0000,0,0,0.0000,0.0000,0.0000,Д+В
h-led-1-1-20,H-LED-1-1-20,,Прочее,Wildberries,ИНТЕР,,24.10.2024,0,0,1021.25,0,0,0,0,0,0.00,0,0.0000,0,0,0,0,0.0000,0.0000,0,0,0,0,0,0,0,0,0.0000,0,0,0.0000,0.0000,0.0000,Д+В
h-sj1-1,H-SJ1-1,196448395,Прочее,Wildberries,ИНТЕР,,24.10.2024,0,0,789.78,0,0,0,0,0,0.00,0,0.0000,0,0,0,0,0.0000,0.0000,0,0,0,0,0,0,0,0,0.0000,0,0,0.0000,0.0000,0.0000,М+Н
h-tc1-1wt,H-TC1-1WT,196445214,Мусорные ведра,Wildberries,ИНТЕР,,24.10.2024,2,1470,557.56,0,573.3,2.4858624,596.1462336,160,1.00,0,0.0000,21.38,252,9,11268,0.0022,0.0026,252,2940,1586.687904,0.5396897633,1,201,0,0,0.0000,0,17,0.0846,0.1176,0.0100,М+Н
dydb1-1,DYDB1-1,196450174,Шуруповерты,Wildberries,ИНТЕР,,24.10.2024,4,3562.5,1912.69,0,3063.75,165.34217,1281.616234,320,1.00,3170.13,0.2225,180.99,344,10,35360,0.0040,0.0040,86,14250,6068.171596,0.4258366033,4,264,4451,184,0.1199,19,30,0.1136,0.1333,0.0152,Д+В
dywr1-1,DYWR1-1,196449627,Гайковерты,Wildberries,ИНТЕР,,24.10.2024,4,5200,3032.58,0,4472,166.0735304,1155.52,320,1.00,3374.07,0.1622,198.8933333,434,13,76778,0.0031,0.0027,87,20800,11113.44314,0.5343001508,5,642,9556,482,0.1247,29,43,0.0670,0.0930,0.0062,Д+В
dygr1-1,DYGR1-1,196450532,Шлифовальные машины,Wildberries,ИНТЕР,,24.10.2024,2,6100,3417.01,0,2623,237.1994445,865.45,160,1.00,5062.43,0.4150,143.36,383,4,22628,0.0050,0.0054,383,12200,3108.560555,0.2548000455,1,362,6927,287,0.0972,18,27,0.0746,0.0741,0.0055,Д+В
h-cpt2-1ca,H-CPT2-1CA,,Коврики для ванной,Wildberries,ИНТЕР,,24.10.2024,0,0,364.61,0,0,0,0,0,0.00,0,0.0000,0,0,0,0,0.0000,0.0000,0,0,0,0,0,0,0,0,0.0000,0,0,0.0000,0.0000,0.0000,М+Н
h-cpt2-1be,H-CPT2-1BE,,Коврики для ванной,Wildberries,ИНТЕР,,24.10.2024,0,0,354.49,0,0,0,0,0,0.00,0,0.0000,0,0,0,0,0.0000,0.0000,0,0,0,0,0,0,0,0,0.0000,0,0,0.0000,0.0000,0.0000,М+Н
h-mop 1-1,H-MOP1-1,24253832,Швабры,Wildberries,ИНТЕР,,24.10.2024,0,0,372.61,0,0,0,0,0,0.00,0,0.0000,0,14,3,2877,0.0000,0.0000,0,0,0,0,0,9,0,0,0.0000,0,2,0.2222,0.0000,0.0000,М+Н
b-fcm1-1wt,B-FCM1-1WT,,Прочее,Wildberries,ИНТЕР,,24.10.2024,0,0,464.03,0,0,0,0,0,0.00,0,0.0000,0,0,3,6000,0.0000,0.0000,0,0,0,0,0,0,0,0,0.0000,0,0,0.0000,0.0000,0.0000,Д+В
b-fcm1-1bk,B-FCM1-1BK,,Прочее,Wildberries,ИНТЕР,,24.10.2024,0,0,459.89,0,0,0,0,0,0.00,0,0.0000,0,0,0,0,0.0000,0.0000,0,0,0,0,0,0,0,0,0.0000,0,0,0.0000,0.0000,0.0000,Д+В
h-dsp1-1,H-DSP1-1,,Прочее,Wildberries,ИНТЕР,,24.10.2024,0,0,1326.92,0,0,0,0,0,0.00,0,0.0000,0,0,0,0,0.0000,0.0000,0,0,0,0,0,0,0,0,0.0000,0,0,0.0000,0.0000,0.0000,
b-mg1-1,B-MG1-1,,Прочее,Wildberries,ИНТЕР,,24.10.2024,0,0,2153.4,0,0,0,0,0,0.00,0,0.0000,0,0,0,0,0.0000,0.0000,0,0,0,0,0,0,0,0,0.0000,0,0,0.0000,0.0000,0.0000,Д+В
cpt1-1-1mgr,CPT1-1-1MGR,204454705,Коврики для ванной,Wildberries,ИНТЕР,,24.10.2024,4,1520,651.12,0,1185.6,0,942.7474672,320,1.00,0,0.0000,57.17,1449,0,0,0.0000,0.0000,242,6080,3574.482533,0.5879083113,6,425,0,0,0.0000,0,29,0.0682,0.1379,0.0094,#N/A
cpt1-1mbe,CPT1-1MBE,204454703,Коврики для ванной,Wildberries,ИНТЕР,,24.10.2024,20,1440,655.35,0,5616,118.3800048,4659.711168,1600,0.85,0,0.0000,245.2888889,721,15,23595,0.0133,0.0122,55,28800,16560.61994,0.5750215256,13,957,0,0,0.0000,0,83,0.0867,0.2410,0.0209,М+Н
h-bowl1-2,H-BOWL1-2,212864351,Миски,Wildberries,ИНТЕР,,24.10.2024,0,0,628.47,0,0,0,0,0,0.00,0,0.0000,0,0,0,0,0.0000,0.0000,0,0,0,0,0,28,0,0,0.0000,0,0,0.0000,0.0000,0.0000,Д+В
h-bowl1-2c,H-BOWL1-2C,219532125,Миски,Wildberries,ИНТЕР,,24.10.2024,3,1160,737.84,0,678.6,110.9718792,456.89,240,0.67,0,0.0000,34.31142857,0,13,19162,0.0023,0.0018,0,3480,1959.226692,0.5629961759,7,225,0,0,0.0000,0,44,0.1956,0.0682,0.0133,Д+В
h-gfc 2-1,H-GFC2-1,216853412,Контейнеры,Wildberries,ИНТЕР,,24.10.2024,10,1020,533.84,0,1989,360.101701,2234.016234,800,1.00,0,0.0000,85.29333333,693,22,24244,0.0045,0.0042,50,10200,4731.588732,0.4638812482,14,574,0,0,0.0000,0,39,0.0679,0.2564,0.0174,М+Н
drl2-1,DRL2-1,,Прочее,Wildberries,ИНТЕР,,24.10.2024,0,0,1322.8,0,0,0,0,0,0.00,0,0.0000,0,0,1,2263,0.0000,0.0000,0,0,0,0,0,0,0,0,0.0000,0,0,0.0000,0.0000,0.0000,Д+В
drl3-1,DRL3-1,,Прочее,Wildberries,ИНТЕР,,24.10.2024,0,0,634.37,0,0,0,0,0,0.00,0,0.0000,0,0,0,0,0.0000,0.0000,0,0,0,0,0,0,0,0,0.0000,0,0,0.0000,0.0000,0.0000,Д+В
gr1-2,GR1-2,,Прочее,Wildberries,ИНТЕР,,24.10.2024,0,0,2387.47,0,0,0,0,0,0.00,0,0.0000,0,0,0,0,0.0000,0.0000,0,0,0,0,0,0,0,0,0.0000,0,0,0.0000,0.0000,0.0000,Д+В
wr1-2,WR1-2,,Прочее,Wildberries,ИНТЕР,,24.10.2024,0,0,2034.42,0,0,0,0,0,0.00,0,0.0000,0,0,0,0,0.0000,0.0000,0,0,0,0,0,0,0,0,0.0000,0,0,0.0000,0.0000,0.0000,Д+В
chs1-1,CHS1-1,,Прочее,Wildberries,ИНТЕР,,24.10.2024,0,0,1643.55,0,0,0,0,0,0.00,0,0.0000,0,0,0,0,0.0000,0.0000,0,0,0,0,0,0,0,0,0.0000,0,0,0.0000,0.0000,0.0000,Д+В
h-tc1-2wt,H-TC1-2WT,230587127,Мусорные ведра,Wildberries,ИНТЕР,,24.10.2024,0,0,488.51,0,0,0,0,0,0.00,0,0.0000,0,0,11,14289,0.0000,0.0000,0,0,0,0,0,26,0,0,0.0000,0,0,0.0000,0.0000,0.0000,М+Н
h-tc1-3wt,H-TC1-3WT,230588261,Мусорные ведра,Wildberries,ИНТЕР,,24.10.2024,0,0,478.38,0,0,0,0,0,0.00,0,0.0000,0,0,2,2410,0.0000,0.0000,0,0,0,0,0,25,0,0,0.0000,0,0,0.0000,0.0000,0.0000,М+Н
h-tc1-4wt,H-TC1-4WT,230589194,Мусорные ведра,Wildberries,ИНТЕР,,24.10.2024,2,1560,713.09,0,608.4,43.896006,568.2927273,160,1.00,0,0.0000,25.79454545,0,17,27489,0.0012,0.0011,0,3120,1713.616721,0.5492361286,6,433,0,0,0.0000,0,33,0.0762,0.0606,0.0046,М+Н
h-tc1-5wt,H-TC1-5WT,230590034,Мусорные ведра,Wildberries,ИНТЕР,,24.10.2024,1,1679.94,765.44,0,327.5883,91.7468937,331.8162336,80,1.00,1.11,0.0007,9.54,74,15,21165,0.0007,0.0008,25,1679.94,838.1385727,0.4989098258,3,325,13,0,0.0000,1,18,0.0554,0.0556,0.0031,М+Н
shc1-2,SHC1-2,,#N/A,Wildberries,ИНТЕР,,24.10.2024,0,0,#N/A,0,0,0,0,0,0.00,0,0.0000,0,0,0,0,0.0000,0.0000,0,0,0,0,0,0,0,0,0.0000,0,0,0.0000,0.0000,0.0000,
at-003bk,AT-003BK,,Прочее,Wildberries,ИНТЕР,,24.10.2024,0,0,980.35,0,0,0,0,0,0.00,0,0.0000,0,0,0,0,0.0000,0.0000,0,0,0,0,0,0,0,0,0.0000,0,0,0.0000,0.0000,0.0000,
at-003w,AT-003W,,Прочее,Wildberries,ИНТЕР,,24.10.2024,0,0,981.36,0,0,0,0,0,0.00,0,0.0000,0,0,0,0,0.0000,0.0000,0,0,0,0,0,0,0,0,0.0000,0,0,0.0000,0.0000,0.0000,
fp1-3,FP1-3,262206398,Сковороды,Wildberries,АТ,,25.10.2024,26,4700.003077,2945.71,0,23829.0156,536.1992955,5817.967132,2080,0.88,223.73,0.0021,1355.622667,123,34,185878,0.0076,0.0066,3,122200.08,88357.54531,0.7230563622,43,2863,2905,120,0.0820,1,303,0.1058,0.0858,0.0091,Д+В
tm2-2bk,TM2-2BK,235897252,Зеркала косметические,Wildberries,АТ,,25.10.2024,0,0,1349.87,0,0,0,0,0,0.00,21.28714286,0.0000,0,0,1,2570,0.0000,0.0000,0,0,-21.28714286,0,1,166,51,3,0.2017,0,6,0.0361,0.0000,0.0000,М+Н
tm1-1bk,TM1-1BK,201357761,Зеркала косметические,Wildberries,АТ,,25.10.2024,9,2800,1247.31,0,5670,42.9335802,2043.18093,720,0.89,439.0471429,0.0196,267.282,1,22,67166,0.0041,0.0038,0,25200,16017.55635,0.6356173153,7,1069,1125,58,0.1372,1,68,0.0636,0.1324,0.0084,М+Н
tm1-2bk,TM1-2BK,235897076,Зеркала косметические,Wildberries,АТ,,25.10.2024,14,3680,1843.4,0,11592,185.1641568,3155.559225,1120,0.93,1625.717143,0.0339,486.6088889,0,19,72523,0.0074,0.0071,0,51520,33354.95059,0.6474175192,12,1764,6082,561,0.2399,7,114,0.0646,0.1228,0.0079,М+Н
fp1-2,FP1-2,262199804,Сковороды,Wildberries,АТ,,25.10.2024,13,3400,2195.29,0,8619,1144.244054,2932.483566,1040,0.91,141.14,0.0035,420.2033333,910,13,50739,0.0100,0.0087,61,44200,29902.92905,0.6765368563,15,937,844,35,0.0610,2,69,0.0736,0.1884,0.0139,Д+В
tm2-1wt,TM2-1WT,235897077,Зеркала косметические,Wildberries,АТ,,25.10.2024,14,2165.717143,1349.87,0,6822.009,184.8022813,3144.559225,1120,0.71,533.5871429,0.0248,255.43,189,13,34125,0.0108,0.0089,32,30320.04,18259.65235,0.6022304836,6,575,1368,20,0.0305,3,56,0.0974,0.2500,0.0243,М+Н
drl5-1,DRL5-1,236558991,Прочее,Wildberries,АТ,,25.10.2024,0,0,1740.51,0,0,11.3378454,0,0,0.00,0,0.0000,0,0,3,8109,0.0000,0.0000,0,0,-11.3378454,0,2,253,0,0,0.0000,0,23,0.0909,0.0000,0.0000,Д+В
tm2-2wt,TM2-2WT,235897251,Зеркала косметические,Wildberries,АТ,,25.10.2024,0,0,1349.87,0,0,4.17312,0,0,0.00,51.00714286,0.0000,0,0,5,15605,0.0000,0.0000,0,0,-55.18026286,0,10,280,161,6,0.1064,0,8,0.0286,0.0000,0.0000,М+Н
drl4-1,DRL4-1,236557120,Прочее,Wildberries,АТ,,25.10.2024,2,2296,1549,0,987.28,24.1454115,494.1513178,160,1.00,0,0.0000,47.67,23,4,10692,0.0050,0.0043,12,4592,2878.753271,0.6269062001,2,290,0,0,0.0000,0,16,0.0552,0.1250,0.0069,Д+В
h-gfc1-2,H-GFC1-2,201356036,Контейнеры,Wildberries,АТ,,25.10.2024,7,700,354.81,0,955.5,144.4608,1604.529612,560,1.00,0.1,0.0000,19.95,0,46,34914,0.0015,0.0014,0,4900,1615.459588,0.3296856301,4,143,2,0,0.0000,0,20,0.1399,0.3500,0.0490,М+Н
h-gfc1-3,H-GFC1-3,201356035,Контейнеры,Wildberries,АТ,,25.10.2024,14,1353.571429,805.96,0,3695.25,50.625,3159.059225,1120,1.00,0,0.0000,235.8745455,0,85,161415,0.0016,0.0012,0,18950,10689.19123,0.5640734158,15,278,0,0,0.0000,0,36,0.1295,0.3889,0.0504,М+Н
tm2-1bk,TM2-1BK,235897250,Зеркала косметические,Wildberries,АТ,,25.10.2024,8,2560,1349.87,0,4608,189.5256467,1808.105271,640,0.63,403.4471429,0.0313,94.08,366,6,16098,0.0133,0.0127,122,20480,12736.84194,0.6219161103,3,425,988,24,0.0882,1,21,0.0494,0.3810,0.0188,М+Н
fp1-1,FP1-1,261789151,Сковороды,Wildberries,АТ,,25.10.2024,1,2600,1841.65,0,507,935.7892033,272.0756589,80,1.00,7.51,0.0029,20.756,1304,2,6062,0.0050,0.0043,326,2600,776.8691378,0.2987958222,4,496,48,2,0.0556,0,20,0.0403,0.0500,0.0020,Д+В
tm1-1wt,TM1-1WT,201357762,Зеркала косметические,Wildberries,АТ,,25.10.2024,2,3120,1250.19,0,1404,0,494.1513178,160,1.00,24.39714286,0.0039,57.22666667,0,6,21540,0.0033,0.0029,0,6240,4100.224873,0.6570873193,0,192,56,2,0.0714,1,1,0.0052,2.0000,0.0104,М+Н
tm1-2wt,TM1-2WT,235896954,Зеркала косметические,Wildberries,АТ,,25.10.2024,0,0,1842.26,0,0,0,0,0,0.00,0,0.0000,0,0,4,14980,0.0000,0.0000,0,0,0,0,0,100,0,0,0.0000,0,0,0.0000,0.0000,0.0000,М+Н
pt2-1rd,PT2-1RD,201440823,Кастрюли,Wildberries,АТ,,25.10.2024,6,2949.98,1634.9,0,3451.4766,17.01,1373.953953,480,0.83,0.02,0.0000,129.72,0,54,180954,0.0011,0.0010,0,17699.88,12247.69945,0.691965112,4,288,1,0,0.0000,0,37,0.1285,0.1622,0.0208,Д+В
h-gfc1-1,H-GFC1-1,201356034,Контейнеры,Wildberries,АТ,,25.10.2024,0,0,653.16,0,0,0,0,0,0.00,0,0.0000,0,0,113,177636,0.0000,0.0000,0,0,0,0,1,49,0,0,0.0000,0,0,0.0000,0.0000,0.0000,М+Н
b-mcm1-1,B-MCM1-1,215321575,Прочее,Wildberries,АТ,,25.10.2024,0,0,744.74,0,0,20.299734,0,0,0.00,136.74,0.0000,0,74,1,1162,0.0000,0.0000,0,0,-157.039734,0,0,13,358,12,0.0595,0,1,0.0769,0.0000,0.0000,М+Н
pt2-3gn,PT2-3GN,201440826,Кастрюли,Wildberries,АТ,,25.10.2024,0,0,1503.02,0,0,1.7415,0,0,0.00,0,0.0000,0,0,51,175134,0.0000,0.0000,0,0,-1.7415,0,3,19,0,0,0.0000,0,0,0.0000,0.0000,0.0000,Д+В
at-001w,AT-001W,,Прочее,Wildberries,АТ,,25.10.2024,0,0,355.8,0,0,0,0,0,0.00,0,0.0000,0,0,0,0,0.0000,0.0000,0,0,0,0,0,0,0,0,0.0000,0,0,0.0000,0.0000,0.0000,Д+В
at-002g,AT-002G,,Прочее,Wildberries,АТ,,25.10.2024,0,0,542.35,0,0,0,0,0,0.00,0,0.0000,0,0,0,0,0.0000,0.0000,0,0,0,0,0,0,0,0,0.0000,0,0,0.0000,0.0000,0.0000,Д+В
at-002be,AT-002BE,,Прочее,Wildberries,АТ,,25.10.2024,0,0,0,0,0,0,0,0,0.00,0,0.0000,0,0,1,988,0.0000,0.0000,0,0,0,0,0,0,0,0,0.0000,0,0,0.0000,0.0000,0.0000,Д+В
at-002bk,AT-002BK,,#N/A,Wildberries,АТ,,25.10.2024,0,0,#N/A,0,0,0,0,0,0.00,0,0.0000,0,0,1,935,0.0000,0.0000,0,0,0,0,0,0,0,0,0.0000,0,0,0.0000,0.0000,0.0000,Д+В
ldm1-1,LDM1-1,,#N/A,Wildberries,АТ,,25.10.2024,0,0,#N/A,0,0,0,0,0,0.00,0,0.0000,0,0,0,0,0.0000,0.0000,0,0,0,0,0,0,0,0,0.0000,0,0,0.0000,0.0000,0.0000,
pt1-1,PT1-1,201440828,Кастрюли,Wildberries,АТ,,25.10.2024,0,0,1347.52,0,0,0,0,0,0.00,0,0.0000,0,0,377,1095562,0.0000,0.0000,0,0,0,0,0,5,0,0,0.0000,0,0,0.0000,0.0000,0.0000,Д+В
pt1-2,PT1-2,201440827,Кастрюли,Wildberries,АТ,,25.10.2024,0,0,2096.16,0,0,0,0,0,0.00,0,0.0000,0,6,357,1595790,0.0000,0.0000,0,0,0,0,0,4,0,0,0.0000,0,0,0.0000,0.0000,0.0000,Д+В
pt1-3,PT1-3,201440830,Кастрюли,Wildberries,АТ,,25.10.2024,0,0,2172.26,0,0,0,0,0,0.00,0,0.0000,0,0,125,560375,0.0000,0.0000,0,0,0,0,0,3,0,0,0.0000,0,0,0.0000,0.0000,0.0000,Д+В
pt1-4,PT1-4,201440822,Кастрюли,Wildberries,АТ,,25.10.2024,0,0,1494.37,0,0,0,0,0,0.00,0,0.0000,0,0,214,688866,0.0000,0.0000,0,0,0,0,0,8,0,0,0.0000,0,0,0.0000,0.0000,0.0000,Д+В
pt1-5,PT1-5,201440824,Кастрюли,Wildberries,АТ,,25.10.2024,0,0,2076.05,0,0,0,0,0,0.00,0,0.0000,0,1,148,709660,0.0000,0.0000,0,0,0,0,0,15,0,0,0.0000,0,0,0.0000,0.0000,0.0000,Д+В
pt1-6,PT1-6,201440829,Кастрюли,Wildberries,АТ,,25.10.2024,0,0,1852.07,0,0,0,0,0,0.00,0,0.0000,0,0,127,505079,0.0000,0.0000,0,0,0,0,0,4,0,0,0.0000,0,0,0.0000,0.0000,0.0000,Д+В
pt1-7,PT1-7,201440825,Кастрюли,Wildberries,АТ,,25.10.2024,0,0,1064.25,0,0,0,0,0,0.00,0,0.0000,0,0,85,187255,0.0000,0.0000,0,0,0,0,0,6,0,0,0.0000,0,0,0.0000,0.0000,0.0000,Д+В
pt2-2gr,PT2-2GR,201440831,Кастрюли,Wildberries,АТ,,25.10.2024,0,0,1527.91,0,0,0,0,0,0.00,0,0.0000,0,0,94,326650,0.0000,0.0000,0,0,0,0,0,4,0,0,0.0000,0,0,0.0000,0.0000,0.0000,Д+В
shc1-1br,SHC1-1BR,,Прочее,Wildberries,АТ,,25.10.2024,0,0,683.74,0,0,0,0,0,0.00,0,0.0000,0,0,0,0,0.0000,0.0000,0,0,0,0,0,0,0,0,0.0000,0,0,0.0000,0.0000,0.0000,Д+В
shc1-1gr,SHC1-1GR,,Прочее,Wildberries,АТ,,25.10.2024,0,0,670.61,0,0,0,0,0,0.00,0,0.0000,0,0,3,0,0.0000,0.0000,0,0,0,0,0,0,0,0,0.0000,0,0,0.0000,0.0000,0.0000,Д+В
shc1-1bk,SHC1-1BK,,Прочее,Wildberries,АТ,,25.10.2024,0,0,661.58,0,0,0,0,0,0.00,0,0.0000,0,0,1,0,0.0000,0.0000,0,0,0,0,0,0,0,0,0.0000,0,0,0.0000,0.0000,0.0000,Д+В
hng1-1w,HNG1-1W,,#N/A,Wildberries,АТ,,25.10.2024,0,0,889.61,0,0,0,0,0,0.00,0,0.0000,0,0,0,0,0.0000,0.0000,0,0,0,0,0,0,0,0,0.0000,0,0,0.0000,0.0000,0.0000,Д+В
hng1-1bk,HNG1-1BK,,Прочее,Wildberries,АТ,,25.10.2024,0,0,850.66,0,0,0,0,0,0.00,0,0.0000,0,0,1,1630,0.0000,0.0000,0,0,0,0,0,0,0,0,0.0000,0,0,0.0000,0.0000,0.0000,Д+В
cpt1-1gr,CPT1-1GR,,Коврики для ванной,Wildberries,АТ,,25.10.2024,0,0,652.64,0,0,0,0,0,0.00,0,0.0000,0,0,15,26775,0.0000,0.0000,0,0,0,0,0,0,0,0,0.0000,0,0,0.0000,0.0000,0.0000,М+Н
cpt1-1be,CPT1-1BE,,Коврики для ванной,Wildberries,АТ,,25.10.2024,0,0,654.44,0,0,0,0,0,0.00,0,0.0000,0,0,15,25785,0.0000,0.0000,0,0,0,0,0,0,0,0,0.0000,0,0,0.0000,0.0000,0.0000,М+Н
hl1-1,HL1-1,,Прочее,Wildberries,АТ,,25.10.2024,0,0,495.21,0,0,0,0,0,0.00,0,0.0000,0,0,0,0,0.0000,0.0000,0,0,0,0,0,0,0,0,0.0000,0,0,0.0000,0.0000,0.0000,Д+В
tvb1-1,TVB1-1,,Прочее,Wildberries,АТ,,25.10.2024,0,0,362.52,0,0,0,0,0,0.00,0,0.0000,0,0,0,0,0.0000,0.0000,0,0,0,0,0,0,0,0,0.0000,0,0,0.0000,0.0000,0.0000,М+Н
pha1-1wt,PHA1-1WT,,Прочее,Wildberries,АТ,,25.10.2024,0,0,716.88,0,0,0,0,0,0.00,0,0.0000,0,0,0,0,0.0000,0.0000,0,0,0,0,0,0,0,0,0.0000,0,0,0.0000,0.0000,0.0000,М+Н
pha1-1bk,PHA1-1BK,,#N/A,Wildberries,АТ,,25.10.2024,0,0,#N/A,0,0,0,0,0,0.00,0,0.0000,0,0,0,0,0.0000,0.0000,0,0,0,0,0,0,0,0,0.0000,0,0,0.0000,0.0000,0.0000,М+Н
pha1-1pk,PHA1-1PK,,Прочее,Wildberries,АТ,,25.10.2024,0,0,608.9,0,0,0,0,0,0.00,0,0.0000,0,0,0,0,0.0000,0.0000,0,0,0,0,0,0,0,0,0.0000,0,0,0.0000,0.0000,0.0000,М+Н
pha1-1gr,PHA1-1GR,,Прочее,Wildberries,АТ,,25.10.2024,0,0,612.36,0,0,0,0,0,0.00,0,0.0000,0,0,0,0,0.0000,0.0000,0,0,0,0,0,0,0,0,0.0000,0,0,0.0000,0.0000,0.0000,М+Н
pha1-1rd,PHA1-1RD,,Прочее,Wildberries,АТ,,25.10.2024,0,0,612.36,0,0,0,0,0,0.00,0,0.0000,0,0,0,0,0.0000,0.0000,0,0,0,0,0,0,0,0,0.0000,0,0,0.0000,0.0000,0.0000,М+Н
